1,5
2,0
3,1
4,3
5,4
6,5
7,5
8,3
9,1
10,3
11,4
12,5
13,5
14,1
15,1
16,4
17,3
18,2
19,0
20,5
21,5
22,4
23,2
24,5
25,1
26,1
27,5
28,1
29,5
30,4
31,3
32,3
33,4
34,4
35,5
36,3
37,5
38,3
39,1
40,2
41,0
42,5
43,1
44,3
45,5
46,5
47,0
48,3
49,5
50,3
51,2
52,1
53,5
54,4
55,4
56,3
57,2
58,3
59,2
60,3
61,3
62,3
63,4
64,3
65,1
66,0
67,0
68,1
69,5
70,3
71,2
72,5
73,1
74,2
75,3
76,3
77,4
78,4
79,5
80,5
81,3
82,5
83,3
84,4
85,5
86,1
87,4
88,5
89,3
90,3
91,5
92,4
93,5
94,4
95,5
96,4
97,1
98,1
99,4
100,1
101,2
102,5
103,0
104,4
105,0
106,0
107,1
108,2
109,5
110,0
111,4
112,5
113,1
114,4
115,5
116,4
117,4
118,0
119,0
120,3
121,5
122,5
123,1
124,2
125,4
126,3
127,4
128,3
129,0
130,1
131,4
132,1
133,3
134,2
135,5
136,3
137,5
138,5
139,0
140,1
141,4
142,3
143,0
144,5
145,3
146,0
147,2
148,1
149,4
150,3
151,0
152,2
153,3
154,5
155,5
156,5
157,4
158,3
159,3
160,3
161,4
162,1
163,5
164,4
165,2
166,4
167,0
168,5
169,0
170,3
171,4
172,3
173,3
174,0
175,1
176,5
177,5
178,1
179,3
180,3
181,0
182,1
183,0
184,3
185,3
186,2
187,0
188,2
189,5
190,5
191,1
192,0
193,4
194,4
195,2
196,3
197,5
198,1
199,0
200,0
201,1
202,3
203,1
204,3
205,3
206,5
207,4
208,5
209,5
210,0
211,3
212,4
213,4
214,4
215,5
216,1
217,1
218,4
219,2
220,2
221,2
222,4
223,0
224,0
225,3
226,3
227,5
228,5
229,0
230,5
231,5
232,4
233,3
234,1
235,3
236,0
237,3
238,4
239,2
240,2
241,3
242,0
243,3
244,1
245,0
246,0
247,2
248,5
249,4
250,5
251,4
252,1
253,4
254,4
255,1
256,5
257,1
258,0
259,5
260,0
261,5
262,3
263,5
264,5
265,4
266,3
267,4
268,1
269,1
270,4
271,5
272,3
273,3
274,1
275,3
276,4
277,1
278,3
279,5
280,3
281,1
282,2
283,1
284,4
285,5
286,3
287,4
288,2
289,1
290,3
291,3
292,1
293,0
294,1
295,5
296,4
297,2
298,2
299,1
300,1
301,4
302,3
303,4
304,5
305,4
306,5
307,0
308,3
309,5
310,1
311,0
312,3
313,5
314,3
315,0
316,3
317,5
318,3
319,3
320,5
321,3
322,5
323,2
324,3
325,5
326,3
327,1
328,5
329,5
330,3
331,3
332,5
333,2
334,4
335,3
336,2
337,3
338,4
339,1
340,4
341,5
342,5
343,1
344,4
345,1
346,1
347,1
348,2
349,0
350,4
351,3
352,5
353,1
354,2
355,2
356,4
357,5
358,1
359,4
360,5
361,3
362,2
363,3
364,3
365,3
366,0
367,5
368,5
369,4
370,3
371,1
372,1
373,1
374,5
375,4
376,2
377,3
378,1
379,1
380,3
381,1
382,2
383,1
384,4
385,0
386,5
387,5
388,1
389,1
390,0
391,5
392,1
393,0
394,5
395,5
396,5
397,1
398,1
399,5
400,1
401,0
402,4
403,5
404,1
405,5
406,1
407,3
408,2
409,5
410,1
411,2
412,1
413,3
414,1
415,1
416,2
417,1
418,0
419,0
420,3
421,4
422,4
423,2
424,1
425,3
426,5
427,4
428,3
429,5
430,1
431,5
432,3
433,5
434,3
435,2
436,2
437,5
438,3
439,1
440,4
441,0
442,1
443,3
444,3
445,3
